弹幕出现时间,弹幕格式,弹幕字体,弹幕颜色,弹幕时间戳,弹幕池,用户ID,rowID,未知信息,弹幕信息,分词结果
193.70700,1,25,16777215,Sun Feb 19 11:27:57 2023,0,610aaa17,1255657828790916608	,10,高启强之所以没有被奉为偶像，是因为还是没有做大做强，没有成功洗白自己的产业,高启 强 奉 偶像 ， 是因为 做 大 做 强 ， 成功 洗白 产业
728.81000,5,25,15138834,Wed Feb 22 22:58:09 2023,0,98272d1b,1258179539323298816	,10,是当时的社会疯了，他只是一个具象化，没有一个人是天生的疯子,社会 疯 ， 一个 具象化 ， 一个 人 天生 疯子
945.33100,1,25,16777215,Mon Feb 20 20:24:27 2023,0,5c10342f,1256652630793893376	,10,前面的，自己不想为公理和自己受到的不公平抗争，就不要去取笑走在这条路上的，甚至是已经倒在这条路上的人，因为你现在能在这里对他们指指点点，是因为他们将风雨挡在了你的前面。,， 不想 公理 不 公平 抗争 ， 去 取笑 走 这条 路上 ， 倒 这条 路上 人 ， 指指点点 ， 是因为 风雨 挡 。
1089.38500,1,25,16777215,Mon Feb 20 13:00:53 2023,0,bf9a1654,1256429379173972992	,10,这个世界需要理想,世界 理想
795.85000,1,25,16777215,Mon Feb 20 12:40:03 2023,0,aad3521a,1256418889001085440	,10,什么让他变成恶人？自己选的呗，你可别说社会没给过他机会，他在不可回头之前抽身的机会可太多了,恶人 ？ 选 ， 社会 没 机会 ， 回头 抽身 机会 可太多
761.17100,1,25,16777215,Mon Feb 20 01:42:43 2023,0,92585830,1256088049012696832	,10,这段分析太好了，深度和对于社会发展逻辑链条的延伸，对比和回顾远胜过我这段时间看过的大多数剧评,段 分析 太好了 ， 深度 社会 发展 逻辑 链条 延伸 ， 对比 回顾 远 胜过 段时间 看过 剧评
865.68600,1,25,16777215,Sun Feb 19 20:01:28 2023,0,5e273a6b,1255916290292564480	,10,安欣没有主角光环活不过三集，但高启强不断地被大众生产。圣徒精神不是凭空来的。,安欣 主角 光环 活 三集 ， 高启 强 地被 大众 生产 。 圣徒 精神 凭空 。
536.56700,1,25,16777215,Sun Feb 19 19:49:30 2023,0,9441743f,1255910265493824000	,10,简单点来说就是村霸，对内欺压，对外打着村民的名头去抢利益，然后全部收入自己囊中,简单 点 来说 村霸 ， 对内 欺压 ， 对外 打着 村民 名头 去 抢 利益 ， 收入 囊中
65.81200,5,25,15138834,Sun Feb 19 19:08:31 2023,0,693980ff,1255889640305632256	,10,富兰克林老崔属于北美刘华强,富兰克林 老 崔 北美 刘华强
241.69800,5,25,16776960,Sun Feb 19 18:59:49 2023,0,5a23b181,1255885256385596416	,10,麦卡锡主义,麦卡锡主义
