BV号,AV号,CID,UP主ID,UP主名称,UP主粉丝数,作品总数,视频标题,视频分类标签,视频时长,发布日期,发布时间,视频简介,播放量,点赞数,投币数,收藏数,分享数,评论数,弹幕数,传播效果指数
BV1Jt4y1B72f,628949812,291441808,96639395,学院派Academia,1468227,133,【硬核社会学】资本主义的本质是什么？,财经商业,3286,2021-02-02,15:15:47,资本主义的本质是什么？它究竟从何而来？亚当斯密、马克思、韦伯三幻神亲身下场，创立现代经济学、政治经济学和社会学以求证得大道。这是一场横跨百年、决定人类真正命运的大辩论！,2475678,119784,90677,125721,22424,3697,10360,14.109302676011946
BV15Z4y1G7qy,372930000,262094885,96639395,学院派Academia,1468227,133,【硬核社会学】消费资本主义：控制世界的新宗教,财经商业,2740,2020-12-02,19:16:34,为什么资本主义制度这么难推翻？为什么消费主义在当下已经成为了一种全新的宗教秩序？为什么消费主义AI化将带来人类的整体性灭绝危机？久违了，这里是【硬核社会学】第二期，让我们一起来看看，那个男人为什么是对的。,1332257,83810,93985,66959,50919,6471,16357,13.519957994292623
BV15Z4y1G7qy,372930000,262094885,96639395,学院派Academia,1468227,133,【硬核社会学】消费资本主义：控制世界的新宗教,财经商业,2740,2020-12-02,19:16:34,为什么资本主义制度这么难推翻？为什么消费主义在当下已经成为了一种全新的宗教秩序？为什么消费主义AI化将带来人类的整体性灭绝危机？久违了，这里是【硬核社会学】第二期，让我们一起来看看，那个男人为什么是对的。,1332257,83810,93985,66959,50919,6471,16357,13.519957994292623
BV1ef4y1H7xw,292742227,400502256,96639395,学院派Academia,1468227,133,【硬核社会学】35岁即失业？当代工作危机的本质是什么,财经商业,859,2021-08-31,22:31:35,最后试一次，再不行就算了。只能发这么多。,467426,19417,10272,7767,3405,2361,1379,12.411857604460229
BV1cS4y1Y7Cz,726138613,588676893,96639395,学院派Academia,1468227,133,【硬核社会学】心理疾病的社会学本质是什么？（上）,社科·法律·心理,1404,2022-04-30,16:20:41,【在与严重的心理疾病抗争两年后，我们决定和国内外几位社会学学者开展一个全新的系列，讨论现代心理疾病的前世今生/本期视频学术合作伙伴：Springer出版社北美部】为什么在现代社会，社会心理和精神疾病变得越来越普遍？主流心理学试图把这一切归结于个人的“心理病理学机制”的不断被发掘和每个人开始享受到足够的“医疗关注度”，并坚信它可以完全通过医学干预来调谐。然而，作为社会化的主体，没有一个人的心理问题是来源于其孤立的情感和人生体验的，也没有一个人的心理或精神疾病可以在不介入更广阔的社会背景的前提下被所谓“治愈”。,317675,14470,7227,9200,3569,1612,1104,12.03557965460116
BV1cS4y1Y7Cz,726138613,588676893,96639395,学院派Academia,1468227,133,【硬核社会学】心理疾病的社会学本质是什么？（上）,社科·法律·心理,1404,2022-04-30,16:20:41,【在与严重的心理疾病抗争两年后，我们决定和国内外几位社会学学者开展一个全新的系列，讨论现代心理疾病的前世今生/本期视频学术合作伙伴：Springer出版社北美部】为什么在现代社会，社会心理和精神疾病变得越来越普遍？主流心理学试图把这一切归结于个人的“心理病理学机制”的不断被发掘和每个人开始享受到足够的“医疗关注度”，并坚信它可以完全通过医学干预来调谐。然而，作为社会化的主体，没有一个人的心理问题是来源于其孤立的情感和人生体验的，也没有一个人的心理或精神疾病可以在不介入更广阔的社会背景的前提下被所谓“治愈”。,317675,14470,7227,9200,3569,1612,1104,12.03557965460116
BV1oN4y1j76y,898731574,780814435,96639395,学院派Academia,1468227,133,【硬核社会学·美国观察】美国为何又禁止堕胎？资本主义再生产的本质！,社科·法律·心理,1129,2022-07-22,17:30:45,"资本、堕胎、生殖工人与社会再生产——美国罗诉韦德案被推翻的本质原因究竟是什么？为什么核心家庭是工厂的延伸？美国堕胎斗争的时代背景是什么？为什么白左和保守派本质上是硬币的两面？
【Research Partner: Liberation School】",233363,11645,5029,3686,1675,738,327,11.719959959351252
BV1HG4y1X7e2,863026536,973008993,96639395,学院派Academia,1468227,133,【硬核社会学】你为什么老想摆烂？现代职场里的活死人与狗屁工作,社科·法律·心理,1104,2023-01-20,17:00:00,"与过去几代被告知要么工作要么死在垃圾堆里的工人不同，今天让我们感到恐惧的不是在垃圾堆里饿死或者冷死，而是我们在工作中不断地、慢慢地死亡。
这种死亡最可怕的地方是，这个死亡本身没有死亡，这个死亡是不死的。
我们希望有一个终点站把我们从这人间地狱中解救出来，但它并不存在。
比死亡更让我们害怕的是想到不死，想到和不值得过的生活永远结合在一起。
Inspired by Prof Fleming and Prof Cederstorm (all the credits and honor to them).",333954,17892,10874,8222,5390,1223,1208,12.092677718029204
BV1Fc411X7r3,279177720,1351190913,96639395,学院派Academia,1468227,133,【硬核社会学】为何科技越进步，上班越痛苦？,人文历史,3917,2023-12-02,11:18:20,对于那些被征召进入工资奴役行列的人来说，工作场所的耀眼辉煌掩盖了其所树立的血肉高墙内更为严酷的现实。在这里，蒸汽和钢铁所构成巨大泰坦不仅是金属和时钟的魂灵主宰，也是凡人肉体和灵魂的机械神父。机器已成为人类的主人，我们为了利润弯曲背脊，摧毁精神，把自己填进一把血肉所做的椅子里。漫长的白日如水般融入更长的夜晚，工人们屈服于机器，不仅交出时间，更将自己的“人性”奉献在原始积累的祭坛上。,270862,14864,7936,9028,2353,843,896,11.886743030937676
BV19T4y1H7bL,923375892,1397512349,96639395,学院派Academia,1468227,133,【硬核社会学】不做耗材：为什么年轻人必须捍卫游戏的权利？,社科·法律·心理,2487,2024-01-07,13:45:03,对于被榨干的工人来说，一切的娱乐和休闲都仅仅是资本积累和下一次劳动之间的缓冲和“充电驿站”。我们难道不知道这些手游很愚蠢吗？我们难道不知道读书、写诗、健身会更有益吗？甚至，我们难道不知道荒野大镖客比各类手游要好玩吗？但我们做得到吗？,401278,26106,12732,15626,5030,2514,1681,12.291411457896427
